TITLE,LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES,PRICE_NPR,RATE_VALUE,RATE_UNIT,RATE_DENOMINATOR,LAND_AREA_AANA,BUILDUP_AREA_SQFT,ROAD_ACCESS_FEET
 House for Sale,"Imadol, Lalitpur",West,3.0,5.0,4.0,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Closet', 'Dining Room', 'Pantry', 'Bed Room']",29000000.0,,,,4.0,,12.0
 House for Sale,"Satdobato, Lalitpur",West,4.5,5.0,6.0,2076 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Parquet', 'Drinking Water', 'Parking', 'Modular Kitchen', 'Closet', 'Bed Room', 'Pantry', 'Dining Room', 'Bathroom', 'Store Room']",47500000.0,,,,3.0,,10.0
4 BHK House for Sale,"Imadol, Lalitpur",West,2.5,4.0,4.0,2060 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Closet', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room']",19900000.0,,,,2.3,,10.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",North-West,2.5,4.0,3.0,2059 B.S,4 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Parking', 'Drinking Water', 'Garden', 'Modular Kitchen', 'Internet', 'Closet', 'MiCrowave']",40000000.0,,,,7.0,,12.0
 House for Rent,"Maharajgunj, Kathmandu",South,2.0,4.0,4.0,2071 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Closet', 'Modular Kitchen', 'Bed Room', 'Bathroom', 'Living Room', 'Guest Room', 'Prayer Room']",12000000.0,,,,6.0,,20.0
Bungalow House for Rent,"Bhaisepati, Lalitpur",South-East,2.5,6.0,5.0,2076 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Gym']",27000000.0,,,,6.0,,12.0
3 BHK House for Sale,"Bhaisepati, Lalitpur",North-West,2.5,4.0,3.0,2074 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Water Purifier', 'Fridge', 'Sofa', 'Closet', 'Internet', 'MiCrowave']",33000000.0,,,,3.2,,13.0
 House for Sale,"Budhanilkantha, Kathmandu",North-East,2.5,5.0,4.0,2065 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Closet', 'Bed Room', 'Dining Room']",40000000.0,,,,4.3,,14.0
 House for Sale,"Gyaneshwor, Kathmandu",West,5.5,13.0,5.0,2066 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Power Backup', 'Closet', 'Dining Room', 'Pantry']",45000000.0,,,,2.2,,10.0
 House for Sale,"Bhaisepati, Lalitpur",East,3.0,5.0,5.0,2075 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Terrace', 'Power Backup', 'Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Sofa', 'Fridge']",30000000.0,,,,5.0,,12.0
 House for Sale,"Imadol, Lalitpur",North-East,3.0,6.0,5.0,2079 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Drinking Water', 'Parking', 'Terrace', 'Power Backup', 'Internet', 'Closet', 'MiCrowave']",49900000.0,,,,5.2,,13.0
 House for Sale,"Kharibot, Kathmandu",South,2.5,4.0,2.0,2070 B.S,2 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drainage', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']",24500000.0,,,,3.0,,16.0
Bungalow House for Sale,"Bafal, Kathmandu",South-East,4.0,4.0,5.0,2078 B.S,3 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Bed Room', 'Dining Room', 'Pantry']",25000000.0,,,,4.0,,13.0
4 BHK House for Sale,"Khumaltar, Lalitpur",South-East,2.5,4.0,4.0,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Terrace', 'Parking', 'Balcony', 'Drinking Water', 'Fridge', 'Sofa', 'AirCon', 'TV']",42500000.0,,,,4.0,,20.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",South-East,2.5,4.0,5.0,2077 B.S,3 CaRs.,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Terrace', 'Parking', 'Drinking Water', 'Balcony', 'Bed Room', 'Closet', 'Internet', 'AirCon']",65000000.0,,,,6.2,,12.0
4 BHK House for Sale,"Bhaisepati, Lalitpur",South-West,2.5,4.0,5.0,2077 B.S,1 CaRs.  & 2 Bikes,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Balcony', 'Terrace', 'Parking', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Closet', 'Bed Room']",36000000.0,,,,4.2,,13.0
 House for Sale,"Khumaltar, Lalitpur",North-West,3.5,6.0,6.0,2078 B.S,1 CaRs.  & 1 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drinking Water', 'Parking', 'Bathtub', 'Balcony', 'Terrace', 'Sofa', 'AirCon', 'Washing Machine']",58000000.0,,,,5.0,3600.0,14.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",South-East,3.5,5.0,7.0,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Terrace', 'Marbel', 'Parquet', 'Drainage', 'CC Camera', 'Parking', 'Power Backup', 'Drinking Water', 'Balcony', 'Fridge']",25000000.0,,,,3.2,,12.0
4 BHK House for Sale,"Bhaisepati, Lalitpur",South-East,3.0,4.0,4.0,2077 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Drinking Water', 'Parking', 'Terrace', 'Bed Room', 'Dining Room', 'Pantry', 'Master Bedroom']",48000000.0,,,,5.2,,16.0
4 BHK House for Sale,"Tahachal, Kathmandu",North,3.0,4.0,5.0,2077 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Sofa', 'Fridge', 'Iron', 'Closet']",66500000.0,,,,4.1,,20.0
Bungalow House for Sale,"Dhapasi, Kathmandu",North-East,2.5,5.0,5.0,2077 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Garden', 'Power Backup', 'Drainage', 'Basement', 'Bathtub', 'Balcony', 'Drinking Water']",133000000.0,,,,9.6,,14.0
Villa House for Sale,"Thecho, Lalitpur",East,3.5,5.0,7.0,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Parquet', 'Marbel', 'Parking', 'Balcony', 'Terrace', 'MiCrowave', 'Power Backup', 'Iron', 'Sofa']",85000000.0,,,,7.0,,12.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",North-East,2.5,4.0,5.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Guest Room', 'Modular Kitchen', 'Bed Room']",55000000.0,,,,5.0,,12.0
 House for Sale,"Bhaisepati, Lalitpur",South,2.5,4.0,4.0,2075 B.S,1 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drainage', 'Power Backup', 'Drinking Water', 'Balcony', 'Terrace', 'Fridge', 'Sofa']",47500000.0,,,,3.1,,20.0
 House for Sale,"Imadol, Lalitpur",South,3.0,5.0,4.0,2075 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Bed Room', 'Bathroom']",29500000.0,,,,3.2,,13.0
 House for Sale,"Sanepa, Lalitpur",North-West,2.5,5.0,3.0,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Terrace', 'Parking', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room', 'Guest Room']",63500000.0,,,,5.0,,10.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",West,2.5,5.0,6.0,2075 B.S,3 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Guest Room', 'Modular Kitchen']",85000000.0,,,,7.0,,13.0
Bungalow House for Sale,"Maharajgunj, Kathmandu",South,2.5,4.0,4.0,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Balcony', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Garden', 'Power Backup', 'Terrace', 'Fridge']",105000000.0,,,,11.0,,12.0
4 BHK House for Sale,"Bhaisepati, Lalitpur",East,2.5,4.0,4.0,2075 B.S,3 CaRs.,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']",64000000.0,,,,7.0,,26.0
3 BHK House for Sale,"Sunakothi, Lalitpur",North,2.5,3.0,4.0,2080 B.S,,"['Earthquake Resistant', 'Marbel', 'Drinking Water', 'Balcony', 'Parquet', 'Parking', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room']",35000000.0,,,,4.0,,20.0
 House for Sale,"Kapan, Kathmandu",South,2.5,6.0,5.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']",22000000.0,,,,3.0,,16.0
4 BHK House for Sale,"Dhobighat, Lalitpur",South,2.5,4.0,4.0,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Fridge', 'Sofa', 'MiCrowave', 'Modular Kitchen', 'Closet']",37500000.0,,,,3.0,,16.0
 House for Sale,"Hattiban, Lalitpur",South,2.0,5.0,4.0,2078 B.S,3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Modular Kitchen', 'Fridge', 'Sofa', 'MiCrowave']",80000000.0,,,,6.0,,20.0
Bungalow House for Sale,"Satdobato, Lalitpur",South-East,3.5,6.0,7.0,2077 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']",55000000.0,,,,4.2,,13.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",South-West,2.5,4.0,4.0,2075 B.S,1 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Iron', 'Modular Kitchen', 'Closet']",55000000.0,,,,3.3,2060.0,13.0
 House for Sale,"Sanepa, Lalitpur",South-West,2.5,5.0,5.0,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parking', 'Sofa', 'Iron', 'MiCrowave', 'Modular Kitchen', 'Closet', 'Bathroom']",77500000.0,,,,9.0,2500.0,20.0
 House for Sale,"Budhanilkantha, Kathmandu",North,2.5,7.0,7.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Garden', 'Balcony', 'Terrace', 'Fridge', 'Sofa']",160000000.0,,,,12.0,3500.0,13.0
 House for Sale,"Imadol, Lalitpur",South,2.5,5.0,3.0,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']",31900000.0,,,,4.1,,13.0
4 BHK House for Sale,"Sitapaila, Kathmandu",West,2.5,4.0,3.0,2074 B.S,2 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Reserve Tank', 'Power Backup', 'Dining Room']",25000000.0,,,,3.0,,13.0
 House for Sale,"Pokhara, Kaski",West,2.5,4.0,4.0,2080 B.S,2 Bikes,"['Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']",120000000.0,,,,11.0,,20.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",North-West,2.5,5.0,6.0,2078 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Terrace', 'Drainage', 'Parking', 'Fridge', 'Sofa', 'Water Purifier', 'MiCrowave', 'Power Backup']",62500000.0,,,,6.4,2870.0,13.0
Bungalow House for Sale,"Budhanilkantha, Kathmandu",North,2.5,7.0,7.0,2078 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Balcony', 'Drinking Water', 'Modular Kitchen', 'Closet', 'Internet', 'Water Purifier', 'Power Backup']",160000000.0,,,,12.0,,12.0
4 BHK House for Sale,"Hattiban, Lalitpur",North,2.5,4.0,4.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']",28000000.0,,,,2.2,,12.0
Bungalow House for Sale,"Imadol, Lalitpur",East,2.5,,5.0,2078 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Fridge', 'Sofa', 'TV', 'MiCrowave']",59900000.0,,,,7.0,,20.0
 House for Sale,"Bhaisepati, Lalitpur",South,2.5,6.0,4.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']",48000000.0,,,,5.0,,25.0
 House for Sale,"Imadol, Lalitpur",North,3.0,5.0,3.0,2076 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Sofa', 'Water Purifier', 'Power Backup', 'Modular Kitchen']",25000000.0,,,,3.1,,13.0
4 BHK House for Rent,"Sanepa, Lalitpur",West,2.5,4.0,2.0,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Balcony', 'Terrace', 'Parking', 'Sofa', 'Fridge', 'MiCrowave', 'Iron']",33500000.0,,,,5.0,,19.0
4 BHK House for Rent,"Sanepa, Lalitpur",North-West,2.5,4.0,3.0,2075 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drinking Water', 'Terrace', 'Parking', 'Fridge', 'Sofa', 'MiCrowave', 'Iron', 'Power Backup']",35000000.0,,,,5.0,,19.0
4 BHK House for Sale,"Bhaisepati, Lalitpur",North-East,2.5,4.0,5.0,2076 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Fridge', 'Sofa']",40000000.0,,,,4.0,,18.0
Bungalow House for Sale,"Nakhipot, Lalitpur",East,2.5,5.0,3.0,2076 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Power Backup', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Water Purifier', 'MiCrowave']",60000000.0,,,,7.0,,13.0
4 BHK House for Sale,"Imadol, Lalitpur",West,2.5,4.0,4.0,2071 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Iron', 'MiCrowave', 'Closet', 'Sofa']",25000000.0,,,,3.5,,12.0
 House for Sale,"Imadol, Lalitpur",East,2.0,5.0,4.0,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drainage', 'MiCrowave', 'Power Backup', 'Iron']",27000000.0,,,,3.3,,12.0
Bungalow House for Sale,"Gwarko, Lalitpur",North,2.5,5.0,4.0,2074 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Closet', 'Modular Kitchen', 'Bed Room', 'Dining Room', 'Guest Room']",27500000.0,,,,3.0,,12.0
 House for Sale,"Budhanilkantha, Kathmandu",South-East,2.5,5.0,5.0,2077 B.S,4 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Terrace', 'Balcony', 'Sofa', 'Power Backup']",110000000.0,,,,11.0,,16.0
 House for Sale,"Hattiban, Lalitpur",North-East,2.5,6.0,4.0,2077 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'MiCrowave', 'Power Backup']",32500000.0,,,,3.3,,15.0
 House for Sale,"Hattiban, Lalitpur",South-West,2.0,5.0,4.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Closet', 'Modular Kitchen', 'MiCrowave']",28000000.0,,,,3.1,1.0,13.0
 House for Sale,"Imadol, Lalitpur",West,3.0,6.0,4.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Modular Kitchen']",31000000.0,,,,3.2,,12.0
4 BHK House for Sale,"Baneshwor, Kathmandu",South,2.5,4.0,4.0,2077 B.S,,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']",40000000.0,,,,5.0,,13.0
House for Sale,"Tokha, Kathmandu",North,2.5,3.0,3.0,2075 B.S,3 Bikes,"['Bed Room', 'Dining Room', 'Living Room', 'Bathroom', 'Fire Place', 'Terrace', 'Reserve Tank', 'Balcony', 'Drinking Water', 'Drainage', 'Parquet']",35000000.0,,,,6.0,,15.0
 House for Sale,"Imadol, Lalitpur",East,2.0,6.0,5.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room', 'Prayer Room']",31500000.0,,,,5.2,,20.0
 House for Sale,"Ochu Height, Lalitpur",South,2.5,6.0,6.0,2077 B.S,1 CaRs.  & 2 Bikes,"['Drainage', 'Parking', 'Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']",29000000.0,,,,3.2,2700.0,13.0
 House for Sale,"Imadol, Lalitpur",East,3.0,5.0,4.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Internet', 'Dining Room', 'Bed Room', 'Bathroom', 'Store Room', 'Prayer Room']",42500000.0,,,,4.2,,20.0
4 BHK House for Sale,"Bhaisepati, Lalitpur",South-East,2.0,4.0,4.0,2074 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Parking', 'Parquet', 'Modular Kitchen', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']",46500000.0,,,,4.0,,12.0
Luxurious Villa  for Sale,"Bhaisepati, Lalitpur",North,2.5,5.0,4.0,2080 B.S,2 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Modular Kitchen']",40000000.0,,,,4.0,,20.0
Bungalow House for Sale,"Sanepa, Lalitpur",North-East,3.0,6.0,5.0,2078 B.S,2 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'Modular Kitchen', 'Dining Room', 'Bed Room']",59500000.0,,,,5.0,2299.0,16.0
4 BHK House for Sale,"Nakkhu, Lalitpur",East,2.5,4.0,4.0,2078 B.S,2 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Prayer Room', 'Master Bedroom']",39000000.0,,,,5.0,,13.0
 House for Sale,"Setipakha, Lalitpur",East,3.0,8.0,3.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Balcony', 'Reserve Tank', 'Water Well', 'Terrace', 'Basement', 'Sofa', 'Water Purifier']",32000000.0,,,,4.0,,13.0
 House for Sale,"Setipakha, Lalitpur",East,3.0,8.0,3.0,2077 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Earthquake Resistant', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Water Well', 'Sofa', 'Modular Kitchen']",32500000.0,,,,4.0,,13.0
4 BHK House for Sale,"Sunakothi, Lalitpur",South,2.5,4.0,4.0,2074 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Reserve Tank', 'Drinking Water', 'Terrace', 'Power Backup', 'Dining Room']",51500000.0,,,,7.1,,20.0
 House for Sale,"Kalanki, Kathmandu",South,3.5,8.0,6.0,2075 B.S,1 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bathroom']",35000000.0,,,,4.0,,10.0
Bungalow House for Sale,"Imadol, Lalitpur",East,2.5,4.0,4.0,2078 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Water Well', 'Terrace', 'Reserve Tank']",32500000.0,,,,4.3,2600.0,20.0
 House for Sale,"Bhangal , Kathmandu",North,2.5,5.0,6.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']",32000000.0,,,,3.1,,13.0
 House for Sale,"Sukedhara, Kathmandu",South,2.5,5.0,3.0,2075 B.S,,"['Reserve Tank', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Dining Room', 'Bathroom']",55000000.0,,,,5.2,,13.0
House for Sale,"Setipakha, Lalitpur",East,2.5,5.0,3.0,2074 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Water Well', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'Modular Kitchen', 'Dining Room']",23000000.0,,,,2.3,,13.0
 House for Sale,"Chandragiri, Kathmandu",East,2.0,3.0,3.0,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Drainage', 'Power Backup', 'Dining Room', 'Bed Room']",17000000.0,,,,3.3,,20.0
 House for Sale,"Imadol, Lalitpur",South,3.5,5.0,4.0,2077 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']",24000000.0,,,,2.3,,13.0
4 BHK House for Sale,"Tikathali, Lalitpur",South,2.5,4.0,4.0,2074 B.S,2 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']",27500000.0,,,,4.0,,13.0
 House for Sale,"Tikathali, Lalitpur",South,2.5,4.0,3.0,2074 B.S,2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']",22500000.0,,,,3.2,,13.0
4 BHK House for Sale,"Lubhu, Lalitpur",East,2.5,4.0,4.0,2078 B.S,2 Bikes,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Drainage', 'Dining Room', 'Bed Room']",18000000.0,,,,4.2,,13.0
3 BHK House for Sale,"Imadol, Lalitpur",South,2.5,3.0,3.0,2077 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']",25000000.0,,,,3.2,,14.0
 House for Sale,"Setipakha, Lalitpur",North-East,1.0,1.0,1.0,2074 B.S,1 CaRs.  & 2 Bikes,"['Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Water Well', 'Sofa', 'Modular Kitchen', 'Dining Room', 'Bed Room']",16500000.0,,,,3.1,,13.0
 House for Sale,"Bhaisepati, Lalitpur",South,2.5,5.0,5.0,2078 B.S,2 Bikes,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']",51000000.0,,,,6.3,,12.0
 House for Sale,"Imadol, Lalitpur",East,2.5,5.0,3.0,2077 B.S,2 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']",59900000.0,,,,7.0,,20.0
 House for Sale,"Imadol, Lalitpur",East,2.5,4.0,3.0,2074 B.S,2 CaRs.  & 4 Bikes,"['Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Garden', 'Reserve Tank', 'Terrace', 'Power Backup']",32500000.0,,,,4.3,,20.0
