TITLE,LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES,PRICE_NPR,RATE_VALUE,RATE_UNIT,RATE_DENOMINATOR,LAND_AREA_AANA,BUILDUP_AREA_SQFT,ROAD_ACCESS_FEET
"Beautiful house on sale near Karuna Hospital, Budhanilkantha","Kapan, Kathmandu",North,2.5,6.0,5.0,2074 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage']",29500000.0,,,,3.2,,13.0
"Residential house for sale at Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",North,2.5,6.0,3.0,2076 B.S,,"['Drainage', 'Parking', 'Drinking Water', 'Bathroom']",28000000.0,,,,3.0,,13.0
Brand new bungalow for sale in Boharatar,"Boharatar, Kathmandu",North,2.5,4.0,3.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Drainage', 'Bathroom']",57500000.0,,,,9.1,,15.0
Attractive house on sale at Banasthali. Kathmandu,"Banasthali, Kathmandu",South-West,3.5,6.0,4.0,2079 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']",35000000.0,,,,2.3,,15.0
"Beautiful house on rent at Mhepi, Kathmandu","Mhaipi, Kathmandu",North-East,2.5,7.0,3.0,2070 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden']",,135000.0,NPR,m,11.0,2600.0,10.0
"4 BHK house on sale at Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",South,2.0,4.0,5.0,2072 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']",140000000.0,,,,8.2,,13.0
"House on sale at Godawari, Lalitpur","Godawari, Lalitpur",West,2.0,6.0,3.0,2072 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']",17500000.0,,,,3.1,,11.0
Attractive house for sale at Budhanilkantha,"Budhanilkantha, Kathmandu",,2.5,5.0,,2079 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']",28800000.0,,,,3.2,,10.0
"Semi commercial house for sale behind Tennis Court, Mandikhatar","Mandikhatar, Kathmandu",North-West,3.5,4.0,5.0,2058 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Parking', 'Drainage', 'Power Backup', 'Modular Kitchen', 'AirCon', 'Garden']",43500000.0,,,,6.2,3523.2,13.0
Beautiful House for sale in Dhapakhel,"Dhapakhel, Lalitpur",North-East,,,,2072 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Parking', 'Garden', 'Drainage', 'Power Backup']",27500000.0,,,,9.0,,4.0
"Beautiful house on sale at Syuchatar Height, Kalanki","Kalanki, Kathmandu",East,2.5,5.0,4.0,2069 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",23500000.0,,,,3.1,,13.0
"Attractive house on sale at Simaltar, Boudha","Bouddha, Kathmandu",South-East,3.5,4.0,2.0,2069 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage']",25000000.0,,,,4.0,,8.0
"Beautiful house on sale at Greenland, Dhapasi","Dhapasi, Kathmandu",East,2.5,4.0,2.0,2079 B.S,,"['Bathroom', 'Drinking Water', 'Swimming Pool', 'Drainage', 'Parking', 'Garden']",51000000.0,,,,6.0,,20.0
"Modern house on sale at Sanepa, Lalitpur","Sanepa, Lalitpur",North-West,2.5,5.0,5.0,2079 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Gym', 'Fridge', 'Sofa', 'AirCon', 'Bed Room', 'Dining Room', 'Amphitheatre', 'Water Purifier']",63500000.0,,,,6.7,2700.0,14.0
Semi furnished bungalow for sale in Bhaisepati,"Bhaisepati, Lalitpur",North-West,2.5,7.0,7.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden']",,,,,16.0,,20.0
"Commercial building for sale at Thamel, Kathmandu","Thamel, Kathmandu",South,3.0,,,2073 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",,,,,22.0,,17.5
"Bungalow for sale in Shanta Colony, Hepali Height","Hepali Height, Kathmandu",East,2.0,4.0,4.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Power Backup']",70000000.0,,,,5.3,,17.0
Luxurious Residential Bungalow for sale in Bhaisepati,"Bhaisepati, Lalitpur",North,2.5,5.0,5.0,2072 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Modular Kitchen', 'Drainage', 'Drinking Water', 'Bathroom']",78000000.0,,,,7.0,,13.0
Newly built bungalow on sale at Bhaisepati,"Bhaisepati, Lalitpur",East,2.5,5.0,5.0,2080 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']",85000000.0,,,,7.0,,13.0
Attractive 5 bhk house on sale at Imadol,"Imadol, Lalitpur",East,2.5,5.0,3.0,2072 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']",25000000.0,,,,3.0,,13.0
"2 BHK house on sale at Tikathali, Imadol","Tikathali, Lalitpur",North,1.0,2.0,1.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']",16500000.0,,,,3.0,,13.0
"6 BHK house on sale in Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",East,2.5,6.0,3.0,2073 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",34500000.0,,,,4.0,,13.0
"House for rent in Siddhartha Colony Road, Budhanilkantha","Budhanilkantha, Kathmandu",East,3.0,4.0,5.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Power Backup', 'AirCon']",,325000.0,NPR,m,19.0,,15.0
"Beautiful house on sale at Bafal, Kathmandu","Bafal, Kathmandu",North,2.5,6.0,2.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",23500000.0,,,,2.2,,12.0
"House on rent at Hepali Height, Budhanilkantha","Hepali Height, Kathmandu",,2.5,,,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",,80000.0,NPR,m,120.0,,13.0
"Attractive house on rent at Maharajgunj, Kathmandu","Maharajgunj, Kathmandu",,2.5,6.0,3.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",,150000.0,NPR,m,7.0,,13.0
"House on sale at Kalanki, Kathmandu","Kalanki, Kathmandu",North,3.0,4.0,5.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'Bed Room', 'Dining Room', 'AirCon', 'Water Purifier', 'Washing Machine', 'TV']",38500000.0,,,,4.2,2600.0,13.0
